,postal_code,school_name,url_address,address,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,results.SEARCHVAL,results.BLK_NO,results.ROAD_NAME,results.BUILDING,results.ADDRESS,results.X,results.Y,results.LATITUDE,results.LONGITUDE
1,88256,CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1    Cantonment Close,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,Tanjong Pagar Outram Park,"75, 167, 196",MRS MANOKARA SUGUNAVATHI,MRS AUDREA CHIN,MISS CHENG SHIN MIIN,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,KIDZ TREEHOUSE @ CANTONMENT,1,CANTONMENT CLOSE,KIDZ TREEHOUSE @ CANTONMENT,1 CANTONMENT CLOSE KIDZ TREEHOUSE @ CANTONMENT SINGAPORE 088256,28748.16206,28659.99956,1.27546535,103.8400411
2,99138,CHIJ ST. THERESA'S CONVENT,http://www.chijsttheresasconvent.moe.edu.sg,160  LOWER DELTA ROAD,64775777,na,64775700,na,CHIJSTCS@MOE.EDU.SG,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MDM TAN MEI MEI JENNY,MDM ONG LEE LEE,"MISS KUO ZHAOYAN, FELICIA",NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,CHIJ SAINT THERESA'S CONVENT,160,LOWER DELTA ROAD,CHIJ SAINT THERESA'S CONVENT,160 LOWER DELTA ROAD CHIJ SAINT THERESA'S CONVENT SINGAPORE 099138,26789.37815,28647.44265,1.275351775,103.8224407
3,99757,CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1    Bukit Teresa Road,62730096,na,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MS NG CHIOU HIEN HELEN,MRS CHAN-TIONG LE CHIN,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1,BUKIT TERESA ROAD,YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK),1 BUKIT TERESA ROAD YMCA STUDENT CARE CENTRE @ CHIJ (KELLOCK) SINGAPORE 099757,27402.96545,28579.84782,1.274740489,103.827954
4,99840,RADIN MAS PRIMARY SCHOOL,http://www.radinmasps.moe.edu.sg,1    BUKIT PURMEI AVENUE,62733937,na,62763083,na,rmps@moe.edu.sg,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",MR MUHAMMAD FARIZAL BIN UMAR EFFE,MRS LINDA TAN,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,RADIN MAS PRIMARY SCHOOL,1,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,26983.86859,28603.9264,1.274958236,103.8241883
5,109100,BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91   TELOK BLANGAH HEIGHTS,62717387,na,62763037,na,BRPS@MOE.EDU.SG,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MR FRANCIS FOO,MDM ONG AI SIAN,MRS LEONG-HO HIL MAY,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE,91,TELOK BLANGAH HEIGHTS,PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE,91 TELOK BLANGAH HEIGHTS PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE SINGAPORE 109100,25248.36678,28733.28435,1.276128001,103.8085941
6,127368,KENT RIDGE SECONDARY SCHOOL,http://www.kentridgesec.moe.edu.sg,147  WEST COAST ROAD,67731127,na,67735119,na,KRSS@MOE.EDU.SG,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",MR KEH CHIN CHUAN BENEDICT,MR OW KWOK LEONG,NULL,NULL,NULL,NULL,NULL,CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na,KENT RIDGE SECONDARY SCHOOL,147,WEST COAST ROAD,KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368,20384.47224,31508.77337,1.301227734,103.7648896
7,127391,TANGLIN SECONDARY SCHOOL,http://www.tanglinsec.moe.edu.sg,301  WEST COAST ROAD,64248200,na,67734457,na,tanglin_ss@moe.edu.sg,CLEMENTI MRT,"30, 51, 78, 143, 285, 655",MR CHONG JACK SHENG,MR CHEEN HSIEN HONG,DR LIM SIEW YEE,NULL,NULL,NULL,NULL,CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,TANGLIN SECONDARY SCHOOL,301,WEST COAST ROAD,TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD TANGLIN SECONDARY SCHOOL SINGAPORE 127391,19635.37124,32445.80216,1.309701692,103.7581584
8,128104,QIFA PRIMARY SCHOOL,http://www.qifapri.moe.edu.sg,50   WEST COAST AVENUE,67783085,na,67761485,na,QIFA_PS@MOE.EDU.SG,Clementi MRT Station,"30,51,78,143,285,655",MRS CATHERINE CHIANG,"MDM CHAN SIN LI, CINDY",MR WONG WOEN LONG,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,QIFA PRIMARY SCHOOL,50,WEST COAST AVENUE,QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE QIFA PRIMARY SCHOOL SINGAPORE 128104,19477.89618,32838.28681,1.313251139,103.7567433
9,128806,NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30   Jalan Lempeng,67788050,na,67784127,na,nhps@moe.edu.sg,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",MDM CHIA HUI KHIM,MDM JOSEPHINE NG,MISS TAN PEIRU,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,Yes,No,Yes,No,Chinese,na,na,NAN HUA PRIMARY SCHOOL,30,JALAN LEMPENG,NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806,19962.22984,33496.24431,1.3192016,103.7610951
10,129857,PEI TONG PRIMARY SCHOOL,http://www.peitongpri.moe.edu.sg/,15   CLEMENTI AVENUE 5,67775458,na,67789784,na,PTPS@MOE.EDU.SG,Clementi,"7, 184, 282",MRS NG- TEO SOCK HUA,MDM LIM WAI PING PATRICIA,NULL,NULL,NULL,NULL,NULL,CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,MOE KINDERGARTEN @ PEI TONG,15,CLEMENTI AVENUE 5,MOE KINDERGARTEN @ PEI TONG,15 CLEMENTI AVENUE 5 MOE KINDERGARTEN @ PEI TONG SINGAPORE 129857,20695.32219,33200.66049,1.316528629,103.7676823
